ID,Age,SEC,Gender,Region,Question code,value
5988412,38,D,Male,Cairo,Q1_P1,0
9843984,31,D,Female,Upper Egypt,Q1_P1,0
3286171,43,C2,Male,Upper Egypt,Q1_P1,0
3751341,43,D,Female,Alex,Q1_P1,0
5207386,44,D,Male,Alex,Q1_P1,0
5981443,35,D,Female,Delta,Q1_P1,0
2831192,36,D,Male,Upper Egypt,Q1_P1,0
3322130,36,C2,Male,Delta,Q1_P1,0
2015813,36,D,Male,Upper Egypt,Q1_P1,0
2597527,40,C2,Male,Delta,Q1_P1,0
2185786,35,C1,Female,Delta,Q1_P1,0
7807226,44,C2,Female,Delta,Q1_P1,0
8556191,36,C2,Female,Upper Egypt,Q1_P1,0
9194269,42,D,Female,Delta,Q1_P1,0
3258720,39,D,Male,Alex,Q1_P1,0
1979760,38,D,Male,Upper Egypt,Q1_P1,0
9516911,37,D,Female,Delta,Q1_P1,0
3849110,40,C2,Female,Delta,Q1_P1,0
8408312,39,E,Female,Upper Egypt,Q1_P1,0
8233371,42,D,Female,Upper Egypt,Q1_P1,0
4694019,37,D,Female,Upper Egypt,Q1_P1,0
6552513,39,D,Female,Upper Egypt,Q1_P1,0
1725489,37,A,Female,Upper Egypt,Q1_P1,0
2357510,36,A,Male,Delta,Q1_P1,0
3626762,43,D,Female,Delta,Q1_P1,1
4196345,43,D,Male,Delta,Q1_P1,0
6488971,31,D,Female,Upper Egypt,Q1_P1,0
6091099,35,D,Female,Delta,Q1_P1,0
2689999,39,D,Male,Delta,Q1_P1,1
3719346,42,C2,Female,Delta,Q1_P1,0
8720166,34,C2,Female,Alex,Q1_P1,0
3215648,39,C1,Female,Cairo,Q1_P1,0
6567231,40,D,Male,Upper Egypt,Q1_P1,1
1540858,40,D,Female,Delta,Q1_P1,0
1395076,41,C1,Male,Alex,Q1_P1,0
1520484,43,D,Male,Cairo,Q1_P1,0
7892273,34,C1,Female,Delta,Q1_P1,0
8528770,39,C2,Female,Delta,Q1_P1,0
4888364,43,D,Male,Canal,Q1_P1,0
4750253,36,D,Male,Alex,Q1_P1,0
8899306,43,D,Male,Upper Egypt,Q1_P1,0
7499320,39,A,Female,Cairo,Q1_P1,0
6786708,38,D,Male,Canal,Q1_P1,0
3307587,43,D,Female,Delta,Q1_P1,0
1040055,34,C1,Female,Cairo,Q1_P1,0
8347501,37,D,Female,Cairo,Q1_P1,0
6595398,37,D,Male,Delta,Q1_P1,0
3124686,47,D,Male,Upper Egypt,Q1_P1,0
4322250,40,D,Male,Cairo,Q1_P1,1
1590546,41,D,Male,Cairo,Q1_P1,0
3255195,41,D,Male,Delta,Q1_P1,0
5738240,42,D,Male,Delta,Q1_P1,0
1819881,44,D,Male,Delta,Q1_P1,0
7491427,38,C1,Female,Delta,Q1_P1,0
6425679,44,C1,Male,Upper Egypt,Q1_P1,0
3693075,34,C1,Female,Delta,Q1_P1,0
6599097,38,C2,Female,Delta,Q1_P1,0
4116252,35,D,Male,Upper Egypt,Q1_P1,0
6688034,39,D,Female,Cairo,Q1_P1,0
6791622,32,D,Female,Alex,Q1_P1,0
1590371,38,D,Female,Cairo,Q1_P1,0
6892117,41,C1,Male,Delta,Q1_P1,1
2174276,44,D,Female,Delta,Q1_P1,0
2125451,32,C2,Female,Delta,Q1_P1,0
8395175,36,C1,Male,Upper Egypt,Q1_P1,0
7635368,38,D,Female,Delta,Q1_P1,0
6101862,35,D,Female,Delta,Q1_P1,0
7681040,33,C1,Female,Delta,Q1_P1,0
3423265,46,C2,Male,Delta,Q1_P1,0
6507469,39,C2,Male,Upper Egypt,Q1_P1,0
2956919,37,D,Female,Alex,Q1_P1,0
8161863,37,C1,Male,Delta,Q1_P1,0
9327925,41,C1,Male,Cairo,Q1_P1,0
1958928,32,D,Female,Cairo,Q1_P1,0
2713967,39,C2,Female,Alex,Q1_P1,0
2954435,41,C1,Male,Upper Egypt,Q1_P1,0
4685623,38,A,Male,Delta,Q1_P1,0
9624777,39,C1,Male,Canal,Q1_P1,1
9507527,45,C2,Female,Upper Egypt,Q1_P1,0
9773986,43,C2,Female,Delta,Q1_P1,0
3657688,41,D,Female,Upper Egypt,Q1_P1,1
2249685,41,A,Female,Delta,Q1_P1,0
6814926,40,C1,Female,Alex,Q1_P1,0
7577464,36,D,Male,Delta,Q1_P1,0
7542580,32,C2,Male,Delta,Q1_P1,0
9932145,39,D,Female,Upper Egypt,Q1_P1,1
4182656,31,D,Male,Delta,Q1_P1,0
6062288,36,D,Female,Delta,Q1_P1,1
5402569,35,D,Male,Delta,Q1_P1,0
3144102,33,D,Male,Upper Egypt,Q1_P1,0
5652770,41,D,Male,Upper Egypt,Q1_P1,0
